Facility/Project Name,CWNS Number,Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
MURPHYS WWTF,06005322001,"3,200",,,,"3,200",0,3200,"4,500",,,,"4,500",0,4500,,,MURPHYS SANITARY DISTRICT,Calaveras,Upper Stanislaus,18040010,4th Congressional District,CA,9,MAP
ORLAND WWTF,06005325001,"6,815",,176,,"6,815",0,6815,"8,503",,176,,"8,503",0,8503,,,"ORLAND, CITY OF",Glenn,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
PIXLEY WWTF,06005328001,"2,833",,"3,104",,"2,833",0,2833,"3,747",,"2,791",,"3,747",0,3747,,,PIXLEY PUD,Tulare,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Hangtown Creek WWTP,06005329001,"10,335",,,,"10,335",0,10335,"16,000",,,,"16,000",0,16000,CA0078956,Individual Permit,"PLACERVILLE, CITY OF",El Dorado,South Fork American,18020129,4th Congressional District,CA,9,MAP
RICHVALE WWTF,06005335001,300,,,,300,0,300,499,,,,499,0,499,,,"RICHVALE, CITY OF",Butte,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
Strathmore WWTF,06005345001,"1,902",,,,"1,902",0,1902,"2,210",,,,"2,210",0,2210,,,Strathmore Public Utility District,Tulare,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
TAFT WWTF,06005347001,"4,172","7,001","2,645",,"11,173",0,11173,"10,202","8,647","2,645",,"18,849",0,18849,,,"TAFT, CITY OF",Kern,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
TERRA BELLA WWTF,06005349001,"1,459",,384,,"1,459",0,1459,"2,390",,384,,"2,390",0,2390,,,Tulare County Resource Management Agency,Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
Tipton WWTF,06005351001,"1,644",,,,"1,644",0,1644,"1,700",,,,"1,700",0,1700,,,Tipton Community Services District,Tulare,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
WHEATLAND WWTF,06005357001,"3,469",,,,"3,469",0,3469,"3,929",,,,"3,929",0,3929,,,"WHEATLAND, CITY OF",Yuba,Upper Bear,18020126,3rd Congressional District,CA,9,MAP
Woodville WWTF,06005360001,"1,800",,,,"1,800",0,1800,"3,384",,,,"3,384",0,3384,,,Woodville Public Utility District,Tulare,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
LOYALTON WWTF,06005366001,"1,265",,452,,"1,265",0,1265,"2,090",,452,,"2,090",0,2090,,,"LOYALTON, CITY OF",Sierra,Middle Fork Feather,18020123,1st Congressional District,CA,9,MAP
Malaga WWTF,06005367001,"1,468",,,,"1,468",0,1468,"2,000",,,,"2,000",0,2000,CA0084239,Individual Permit,Malaga County Water District,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
RED BLUFF WWTF,06005368001,"13,147",,"6,055",,"13,147",0,13147,"21,000","15,017",,,"36,017",0,36017,CA0078891,Individual Permit,"RED BLUFF, CITY OF",Tehama,Sacramento Headwaters,18020005,1st Congressional District,CA,9,MAP
Lake of the Pines WWTP,06005421001,"3,917",,,,"3,917",0,3917,"4,622",,,,"4,622",0,4622,CA0081612,Individual Permit,Truckee Sanitary District,Nevada,Upper Bear,18020126,1st Congressional District,CA,9,MAP
DON PEDRO WWTF,06005511002,250,,,,250,0,250,385,,,,385,0,385,,,MARIPOSA COUNTY PWD,Mariposa,Upper Chowchilla-Upper Fresno,18040007,4th Congressional District,CA,9,MAP
Mariposa Pines WWTF,06005511003,35,,,,35,0,35,40,,,,40,0,40,,,MARIPOSA COUNTY PWD,Mariposa,Upper Chowchilla-Upper Fresno,18040007,4th Congressional District,CA,9,MAP
Yosemite West WWTF,06005511004,350,,,,350,0,350,400,,,,400,0,400,,,MARIPOSA COUNTY PWD,Mariposa,Upper Merced,18040008,4th Congressional District,CA,9,MAP
CAMINO HGTS WWTF CSD-21,06005551001,300,,205,,300,0,300,913,,205,,913,0,913,,,EL DORADO IRRIGATION DISTRICT,El Dorado,Upper San Joaquin,18040006,4th Congressional District,CA,9,MAP
POPLAR WWTF,06005607001,"2,500",,,,"2,500",0,2500,"3,300",,,,"3,300",0,3300,,,Poplar Community Services District,Tulare,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
Robbins WWTF,06005640002,391,,,,391,0,391,400,,,,400,0,400,,,"Sutter, County of",Sutter,Honcut Creek-Lower Feather River,18020159,3rd Congressional District,CA,9,MAP
Rio Ramaza WWTF,06005640003,20,,,,20,0,20,20,,,,20,0,20,,,"Sutter, County of",Sutter,Honcut Creek-Lower Feather River,18020159,3rd Congressional District,CA,9,MAP
LOST HILLS WWTF,06005654001,600,,,,600,0,600,"3,530",,,,"3,530",0,3530,,,"KERN, COUNTY OF",Kern,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Lake Wildwood WWTP,06005681001,"6,366",,,,"6,366",0,6366,"8,920",,,,"8,920",0,8920,CA0077828,Individual Permit,Nevada County Sanitation District No. 1,Nevada,Upper Yuba,18020125,1st Congressional District,CA,9,MAP
Cascade Shores WWTP,06005682001,"3,081",,49,,"3,081",0,3081,"3,100",,49,,"3,100",0,3100,CA0083241,Individual Permit,Nevada County Sanitation District No. 1,Nevada,Upper Bear,18020126,1st Congressional District,CA,9,MAP
Reeder Tract  WWTF,06005693001,500,,,,500,0,500,490,,,,490,0,490,,,Kern Sanitation Authority,Kern,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
BIEBER WWTF,06005780001,774,,171,,774,0,774,"1,151",,171,,"1,151",0,1151,,,Lassen Co. Waterworks District #1,Lassen,Lower Pit,18020003,1st Congressional District,CA,9,MAP
Stallion Springs CSD WWTF,06005783001,561,,,,561,0,561,886,,,,886,0,886,CA0080489,Individual Permit,Stallion Springs CSD,Kern,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
SUSANVILLE REG WWTF,06006002001,"16,794",,,,"16,794",0,16794,"17,314",,,,"17,314",0,17314,CA0102695,Individual Permit,Susanville Consolidated Sanitary District,Lassen,Upper Pit,18020002,1st Congressional District,CA,9,MAP
BORON WWTF,06006003001,"2,213",,436,,"2,213",0,2213,"3,222",,436,,"3,222",0,3222,,,BORON CSD,Kern,Honey-Eagle Lakes,18080003,1st Congressional District,CA,9,MAP
South Tahoe WWTF,06006004001,"34,000",,0,,"34,000",0,34000,"49,000",,"8,010",,"49,000",0,49000,,,SOUTH TAHOE PUD,El Dorado,Lake Tahoe,16050101,4th Congressional District,CA,9,MAP
Barstow WRF,06006005001,"24,350",,"14,588",,"24,350",0,24350,"44,804",,"14,588",,"44,804",0,44804,,,"BARSTOW, CITY OF",San Bernardino,Coyote-Cuddeback Lakes,18090207,8th Congressional District,CA,9,MAP
Tahoe-Truckee WWTP,06006008001,,"28,464",,,"28,464",0,28464,,"41,075",,,"41,075",0,41075,,,Tahoe-Truckee Sanitation Agency,Nevada,Truckee,16050102,4th Congressional District,CA,9,MAP
Victor Valley Regional WWRP,06006009001,"119,059","66,317","102,925",,"185,376",0,185376,"174,222","13,500","115,959",,"187,722",0,187722,CA0102822,Individual Permit,VIictor Valley Wastewater Reclamation Authority,San Bernardino,Mojave,18090208,8th Congressional District,CA,9,MAP
Mammoth Community WWTF,06006010001,"4,635",,520,,"4,635",0,4635,"11,316",,520,,"11,316",0,11316,,,Mammoth Community Water District,Mono,Mono Lake,18090101,8th Congressional District,CA,9,MAP
JUNE LAKE WWTF,06006011001,828,,462,,828,0,828,"1,121",,462,,"1,121",0,1121,,,JUNE LAKE PUD,Mono,Mono Lake,18090101,8th Congressional District,CA,9,MAP
HILTON CREEK WWTF,06006012001,257,,124,,257,0,257,466,,124,,466,0,466,,,HILTON CREEK CSD,Mono,Mono Lake,18090101,8th Congressional District,CA,9,MAP
L. ARROWHEAD WWTF,06006013001,"10,581",,250,,"10,581",0,10581,"15,000",,"4,512",,"15,000",0,15000,,,Lake Arrowhead CSD,San Bernardino,Mojave,18090208,8th Congressional District,CA,9,MAP
HOUSTON CREEK WWTF,06006021001,"9,000",,"4,999",,"9,000",0,9000,"7,551",,"4,999",,"7,551",0,7551,,,Crestline Sanitation District,San Bernardino,Mojave,18090208,8th Congressional District,CA,9,MAP
SEELEY CREEK WWTF,06006021002,589,,734,,589,0,589,"3,112",,734,,"3,112",0,3112,,,Crestline Sanitation District,San Bernardino,Mojave,18090208,8th Congressional District,CA,9,MAP
CLEGHORN WWTF,06006021003,30,,,,30,0,30,30,,,,30,0,30,,,Crestline Sanitation District,San Bernardino,Mojave,18090208,8th Congressional District,CA,9,MAP
BIG PINE WWTF,06006026001,800,,200,,800,0,800,971,,100,,971,0,971,,,Big Pine Paiute Tribe of the Owens Valley,Inyo,Eureka-Saline Valleys,18090201,8th Congressional District,CA,9,MAP
BRIDGEPORT WWTF,06006027001,900,,292,,900,0,900,"1,221",,292,,"1,221",0,1221,,,BRIDGEPORT PUD,Mono,East Walker,16050301,8th Congressional District,CA,9,MAP
Leavitt Lake Evaporation Ponds,06006028002,950,,8,,950,0,950,980,,8,,980,0,980,,,Leavitt Lake Community Service District,Lassen,Madeline Plains,18080002,1st Congressional District,CA,9,MAP
DESERT LAKE WWTF,06006031001,"1,405",,309,,"1,405",0,1405,"2,087",,309,,"2,087",0,2087,,,DESERT LAKE CSD,Kern,Honey-Eagle Lakes,18080003,1st Congressional District,CA,9,MAP
BAKER WWTF,06006032001,600,,,,600,0,600,624,,,,624,0,624,,,BAKER COMM SERV DIST,San Bernardino,Antelope-Fremont Valleys,18090206,23rd Congressional District,CA,9,MAP
Silver Lakes WWTF,06006033001,"6,700",,,,"6,700",0,6700,"8,100",,,,"8,100",0,8100,,,"San Bernardino County, Spec. Districts Department",San Bernardino,Mojave,18090208,8th Congressional District,CA,9,MAP
Rosamond WWTF,06006041001,"12,600",,,,"12,600",0,12600,"29,280",,,,"29,280",0,29280,,,Rosamond Community Services District,Kern,Antelope-Fremont Valleys,18090206,23rd Congressional District,CA,9,MAP
MOJAVE WWTF,06006049001,"3,451",,964,,"3,451",0,3451,"5,371",,964,,"5,371",0,5371,,,MOJAVE PUD,Kern,Antelope-Fremont Valleys,18090206,23rd Congressional District,CA,9,MAP
EL CENTRO WWTF,06007002001,"40,000",,27,,"40,000",0,40000,"62,328",,27,,"62,328",0,62328,CA0104426,Individual Permit,"EL CENTRO, CITY OF",Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
PALM SPRINGS WWRF,06007003001,"45,279",,399,,"45,279",0,45279,"62,426",,399,,"62,426",0,62426,,,"PALM SPRINGS, CITY OF",Riverside,Salton Sea,18100204,36th Congressional District,CA,9,MAP
CALEXICO WWTF,06007005001,"14,247",,"5,927",,"14,247",0,14247,"24,533",,"5,927",,"24,533",0,24533,CA7000009,Individual Permit,"CALEXICO, CITY OF",Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
CALIPATRIA WWTF,06007007001,"7,980",,87,,"7,980",0,7980,"8,000",,87,,"8,000",0,8000,CA0105015,Individual Permit,"CALIPATRIA, CITY OF",Imperial,Whitewater River,18100201,51st Congressional District,CA,9,MAP
BOMBAY BEACH WWRF,06007008003,343,,200,,343,0,343,773,,200,,773,0,773,,,COACHELLA VALLEY CWD,Imperial,Whitewater River,18100201,36th Congressional District,CA,9,MAP
NORTH SHORE WWRF,06007008004,205,,122,,205,0,205,527,,122,,527,0,527,,,COACHELLA VLY CO WTR DIST,Riverside,Whitewater River,18100201,36th Congressional District,CA,9,MAP
Blythe Regional WWTF,06007010001,"12,155",,,,"12,155",0,12155,"17,000",,,,"17,000",0,17000,,,"BLYTHE, CITY OF",Riverside,Imperial Reservoir,15030104,36th Congressional District,CA,9,MAP
HEBER WWTF,06007011001,"3,500",,10,,"3,500",0,3500,"5,500",,10,,"5,500",0,5500,CA0104370,Individual Permit,HEBER PUD,Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
HOLTVILLE WWTF,06007013001,"5,240",,460,,"5,240",0,5240,"11,262",,460,,"11,262",0,11262,CA0104361,Individual Permit,"HOLTVILLE, CITY OF",Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
IMPERIAL WWTF,06007014001,"4,188",,573,,"4,188",0,4188,"6,788",,573,,"6,788",0,6788,CA0104400,Individual Permit,"IMPERIAL, CITY OF",Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
NILAND WWTF,06007015001,"2,600",,,,"2,600",0,2600,"3,500",,,,"3,500",0,3500,CA0104451,Individual Permit,NILAND SANITARY DISTRICT,Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
DESERT SHORES WWTF,06007016001,"1,115",,123,,"1,115",0,1115,"1,466",,123,,"1,466",0,1466,,,SALTON COMM SVCS DIST,Imperial,Salton Sea,18100204,36th Congressional District,CA,9,MAP
SEELEY CWD WWTF,06007018001,"1,122",,,,"1,122",0,1122,"1,226",,,,"1,226",0,1226,CA0105023,Individual Permit,SEELEY CWD,Imperial,Havasu-Mohave Lakes,15030101,51st Congressional District,CA,9,MAP
WESTMORLAND WWTF,06007019001,"2,131",,,,"2,131",0,2131,"2,800",,,,"2,800",0,2800,CA0105007,Individual Permit,"WESTMORLAND, CITY OF",Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
Alan Horton WWTF,06007021001,"13,000",,"4,000",,"13,000",0,13000,"22,600",,"1,000",,"22,600",0,22600,,,Mission Springs Water District,Riverside,Lower Colorado,15030107,36th Congressional District,CA,9,MAP
Brawley WWTP,06007022001,"44,427","3,252","1,445",,"47,679",0,47679,"49,036","1,948","1,445",,"50,984",0,50984,CA0104523,Individual Permit,"BRAWLEY, CITY OF",Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
Imperial Commun Colleges Dist WWTF,06007023001,"5,000",,"1,399",,"5,000",0,5000,"6,311",,"1,399",,"6,311",0,6311,CA0104299,Individual Permit,Imperial Community Colleges District,Imperial,Salton Sea,18100204,51st Congressional District,CA,9,MAP
Coachella WWTP,06007025001,"42,951",,,,"42,951",0,42951,"91,008",,,,"91,008",0,91008,CA0104493,Individual Permit,Coachella Sanitary District,Riverside,Los Angeles,18070105,36th Congressional District,CA,9,MAP
VALLEY SD WWTF,06007029001,"85,000",,,,"85,000",0,85000,"94,000",,,,"94,000",0,94000,CA0104477,Individual Permit,VALLEY SANITARY DIST,Riverside,Ventura,18070101,36th Congressional District,CA,9,MAP
NEEDLES WWTF,06007030001,"6,602",,,,"6,602",0,6602,"7,569",,,,"7,569",0,7569,,,"NEEDLES, CITY OF",San Bernardino,Havasu-Mohave Lakes,15030101,8th Congressional District,CA,9,MAP
BANNING WWTF,06007032001,"30,319",,,,"30,319",0,30319,"46,410",,,,"46,410",0,46410,,,"BANNING, CITY OF",Riverside,Whitewater River,18100201,36th Congressional District,CA,9,MAP
RIPLEY WWTF,06007041001,762,,191,,762,0,762,"1,159",,191,,"1,159",0,1159,,,RIVERSIDE CO SER AREA 62,Riverside,Santa Ana,18070203,41st Congressional District,CA,9,MAP
Puerta La Cruz Conserv Camp WWTF,06007063001,130,,,,130,0,130,135,,,,135,0,135,,,"CA Dep of Forestry, Puerta La Cruz Conserv. Camp",San Diego,Santa Margarita,18070302,50th Congressional District,CA,9,MAP
Blythe Airport WWTF,06007069001,30,,,,30,0,30,30,,,,30,0,30,,,"BLYTHE, CITY OF",Riverside,Imperial Reservoir,15030104,36th Congressional District,CA,9,MAP
Riverside Regional WQCP,06008001001,"308,511","123,008",,,"431,519",0,431519,"353,397","170,681",,,"524,078",0,524078,CA0105350,Individual Permit,"RIVERSIDE, CITY OF",Riverside,Santa Ana,18070203,41st Congressional District,CA,9,MAP
San Bernardino WRP,06008004001,,"301,063",,,"301,063",0,301063,,"357,641",,,"357,641",0,357641,CA0105392,Individual Permit,San Bernardino Municipal Water Department,San Bernardino,Santa Ana,18070203,31st Congressional District,CA,9,MAP
San Jacinto Regional WRF,06008006001,"44,803","83,014","6,629",,"127,817",0,127817,"55,071","112,429","9,222",,"167,500",0,167500,CA8000188,Individual Permit,Eastern Municipal Water District,Riverside,San Jacinto,18070202,42nd Congressional District,CA,9,MAP
Moreno Valley Regional WRF,06008006002,"196,495",,"6,854",,"196,495",0,196495,"220,669",,"3,314",,"220,669",0,220669,CA8000188,Individual Permit,Eastern Municipal Water District,Riverside,San Jacinto,18070202,42nd Congressional District,CA,9,MAP
Perris Valley Regional WRF,06008006006,"99,315","10,000","7,851",,"109,315",0,109315,"274,619","27,437","4,862",,"302,056",0,302056,CA8000188,Individual Permit,EASTERN MUN WATER DIST,Riverside,San Jacinto,18070202,42nd Congressional District,CA,9,MAP
BIG BEAR AREA REG WWTF,06008007001,"9,516","8,904",,,"18,420",0,18420,"12,567","17,517",,,"30,084",0,30084,,,Big Bear Area Regional Wastewater Agency,San Bernardino,Santa Ana,18070203,8th Congressional District,CA,9,MAP
IEUA Regional Plant No.1,06008010001,,"479,792",,,"479,792",0,479792,,"530,491",,,"530,491",0,530491,CA8000409,Individual Permit,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
IEUA Regional Plant No.2,06008010002,"75,000",,,,"75,000",75000,0,,,,,,,,,,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
IEUA Regional Plant No.4,06008010004,"7,350","76,813",,,"84,163",0,84163,"8,000","86,990",,,"94,990",0,94990,,,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
IEUA Regional Plant No.5,06008010005,,"153,100",,,"153,100",0,153100,,"102,574",,,"102,574",0,102574,CA8000409,Individual Permit,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
IEUA Carbon Canyon WRF,06008010006,"40,000","75,345",,,"115,345",0,115345,"49,011","84,948",,,"133,959",0,133959,,,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
Upland Hills WRP,06008010007,"1,200",,,,"1,200",0,1200,"1,500",,,,"1,500",0,1500,,,Inland Empire Utilities Agency,San Bernardino,Santa Ana,18070203,27th Congressional District,CA,9,MAP
BEAUMONT WWTF,06008012001,"11,384",,,,"11,384",0,11384,"13,500",,,,"13,500",0,13500,CA0105376,Individual Permit,"BEAUMONT, CITY OF",Riverside,Los Angeles,18070105,36th Congressional District,CA,9,MAP
Western Riverside Co Reg WWTP,06008016003,"15,000","36,514",,,"51,514",0,51514,"15,000","37,864",,,"52,864",0,52864,CA8000316,Individual Permit,WESTERN MUNICIPAL WATER DISTRICT,Riverside,Santa Ana,18070203,42nd Congressional District,CA,9,MAP
Yucaipa Valley WD WWTP,06008019001,"52,100",,"10,467",,"52,100",0,52100,"55,000",,"10,467",,"55,000",0,55000,CA0105619,Individual Permit,Yucaipa Valley Water District,San Bernardino,Santa Ana,18070203,8th Congressional District,CA,9,MAP
Corona WWTF #1,06008020001,"99,000",,,,"99,000",0,99000,"100,000",,,,"100,000",0,100000,CA8000383,Individual Permit,"CORONA, CITY OF",Riverside,Santa Ana,18070203,42nd Congressional District,CA,9,MAP
Corona WWTF #2,06008020002,"53,000",,,,"53,000",0,53000,"54,000",,,,"54,000",0,54000,,,"CORONA, CITY OF",Riverside,Santa Ana,18070203,42nd Congressional District,CA,9,MAP
Corona WWTP #3,06008020003,"25,000",,,,"25,000",0,25000,"30,000",,,,"30,000",0,30000,CA8000395,Individual Permit,"Corona, City of",Riverside,Santa Ana,18070203,42nd Congressional District,CA,9,MAP
OCSD WRP No. 1,06008022001,,"1,443,610",,,"1,443,610",0,1443610,,"1,539,651",,,"1,539,651",0,1539651,CA0110604,Individual Permit,Orange County Sanitation District,Orange,Santa Ana,18070203,48th Congressional District,CA,9,MAP
OCSD WWTP No. 2,06008022002,,"3,483,765",,,"3,483,765",0,3483765,,"3,658,649",,,"3,658,649",0,3658649,CA0110604,Individual Permit,Orange County Sanitation District,Orange,Seal Beach,18070201,48th Congressional District,CA,9,MAP
COLTON WWTF,06008024001,"48,000","12,100","1,090",,"60,100",0,60100,"70,655","12,500",712,,"83,155",0,83155,CA0105236,Individual Permit,"COLTON      ,CITYOF",San Bernardino,Santa Ana,18070203,31st Congressional District,CA,9,MAP
RUNNING SPRINGS WWTF,06008027001,"2,945","1,470",110,,"4,415",0,4415,"3,716","1,679",110,,"5,395",0,5395,,,Running Springs Water District,San Bernardino,Santa Ana,18070203,8th Congressional District,CA,9,MAP
Michelson WRP,06008033001,"143,072",,,,"143,072",0,143072,"235,000",,,,"235,000",0,235000,CA8000326,Individual Permit,IRVINE RANCH WATER DISTRICT,Orange,Newport Bay,18070204,45th Congressional District,CA,9,MAP
Railroad Canyon WWTP,06008034001,"10,250",,"1,001",,"10,250",0,10250,"13,300",,"1,001",,"13,300",0,13300,,,Elsinore Valley Municipal Water District,Riverside,San Jacinto,18070202,42nd Congressional District,CA,9,MAP
Alberhill WWTP,06008041001,"28,000",,,,"28,000",0,28000,"28,000",,,,"28,000",0,28000,,,Elsinore Valley Municipal Water District,Riverside,Santa Ana,18070203,31st Congressional District,CA,9,MAP
Lake Elsinore Regional WWTP,06008041002,"33,500",,,,"33,500",0,33500,"40,000",,,,"40,000",0,40000,CA8000027,Individual Permit,Elsinore Valley Municipal Water District,Riverside,San Jacinto,18070202,42nd Congressional District,CA,9,MAP
Rialto WWTP,06008052001,"91,873",,,,"91,873",0,91873,"105,000",,,,"105,000",0,105000,CA0105295,Individual Permit,"RIALTO, CITY OF",San Bernardino,Santa Ana,18070203,35th Congressional District,CA,9,MAP
LYTLE CREEK WWTF,06008080001,870,,,,870,0,870,950,,,,950,0,950,,,"San Bernardino County, Spec. Districts Department",San Bernardino,Santa Ana,18070203,8th Congressional District,CA,9,MAP
Temecula Valley Regional WRF,06008085001,"103,092",,"6,511",,"103,092",0,103092,"186,488",,"2,011",,"186,488",0,186488,CA8000188,Individual Permit,EASTERN MWD,Riverside,Santa Margarita,18070302,42nd Congressional District,CA,9,MAP
LEE LAKE WD WWTP,06008086001,"15,344",,,,"15,344",0,15344,"19,206",,,,"19,206",0,19206,CA8000100,Individual Permit,LEE LAKE WATER DISTRICT,Riverside,Santa Ana,18070203,42nd Congressional District,CA,9,MAP
El Toro Water District WWTF,06008100001,"51,539",,,,"51,539",0,51539,"53,343",,,,"53,343",0,53343,CA0107611,Individual Permit,EL TORO WATER DISTRICT,Orange,Newport Bay,18070204,49th Congressional District,CA,9,MAP
FALLBROOK WWTF #1,06009004001,"33,373",,"5,001",,"33,373",0,33373,"40,000",,"5,001",,"40,000",0,40000,CA0108031,Individual Permit,FALLBROOK PUBLIC UTILITY DIST,San Diego,Santa Margarita,18070302,50th Congressional District,CA,9,MAP
SOCWA Coastal WWTP,06009006001,"21,000","22,966","2,001",,"43,966",0,43966,"31,500","24,803","2,001",,"56,303",0,56303,CA0107611,Individual Permit,South Orange County Wastewater Authority,Orange,Aliso-San Onofre,18070301,49th Congressional District,CA,9,MAP
Encina WPCF,06009011001,,"361,646",,,"361,646",0,361646,,"424,804",,,"424,804",0,424804,CA0107395,Individual Permit,ENCINA WASTEWATER AUTHORITY,San Diego,San Luis Rey-Escondido,18070303,49th Congressional District,CA,9,MAP
Julian Water Pollution Control Fac.,06009012001,528,,,,528,0,528,528,,,,528,0,528,,,Julian Sanitation District,San Diego,San Diego,18070304,52nd Congressional District,CA,9,MAP
Gafner Water Reclamation Plant,06009014002,"10,654",,,,"10,654",0,10654,"11,227",,,,"11,227",0,11227,,,Leucadia Wastewater District,San Diego,San Luis Rey-Escondido,18070303,49th Congressional District,CA,9,MAP
Ralph W. Chapman WRF,06009015003,"12,000",,,,"12,000",0,12000,"14,000",,,,"14,000",0,14000,,,Otay Water District,San Diego,San Diego,18070304,53rd Congressional District,CA,9,MAP
Rancho Santa Fe WWTF,06009016001,"5,388",,"1,500",,"5,388",0,5388,"6,900",,750,,"6,900",0,6900,,,Rancho Santa Fe Community Services District,San Diego,San Diego,18070304,49th Congressional District,CA,9,MAP
Latham WWTP,06009019001,"115,059","40,000","6,027",,"155,059",0,155059,"131,500","45,000","6,027",,"176,500",0,176500,CA0107417,Individual Permit,South Orange County Wastewater Authority,Orange,Aliso-San Onofre,18070301,49th Congressional District,CA,9,MAP
Whispering Palms WPCF,06009020001,"3,624",,374,,"3,624",0,3624,"3,854",,374,,"3,854",0,3854,,,Whispering Palms Community Services District,San Diego,San Diego,18070304,49th Congressional District,CA,9,MAP
Pine Valley WWTF,06009025001,300,,265,,300,0,300,970,,265,,970,0,970,,,San Diego Co. Public Works Department,San Diego,Cottonwood-Tijuana,18070305,52nd Congressional District,CA,9,MAP
Santa Maria Reclamation Plant,06009027001,"9,000",,"2,000",,"9,000",0,9000,"14,000",,"1,500",,"14,000",0,14000,,,RAMONA SANIT DIST,San Diego,San Diego,18070304,50th Congressional District,CA,9,MAP
San Elijo WRF,06009028001,,"26,000",,,"26,000",0,26000,,"39,276",,,"39,276",0,39276,CA0107999,Individual Permit,San Elijo Joint Powers Authority,San Diego,San Luis Rey-Escondido,18070303,49th Congressional District,CA,9,MAP
Point Loma WWTF,06009031001,"1,320,817","745,715",,,"2,066,532",0,2066532,"1,614,284","861,061",,,"2,475,345",0,2475345,CA0107409,Individual Permit,City of San Diego Metropolitan Wastewater Depart.,San Diego,San Diego,18070304,52nd Congressional District,CA,9,MAP
North City WRP,06009031002,"330,339",,,,"330,339",0,330339,"378,457",,,,"378,457",0,378457,,,City of San Diego Metropolitan Wastewater Depart.,San Diego,San Diego,18070304,52nd Congressional District,CA,9,MAP
South Bay WRP,06009031004,"134,433",,,,"134,433",0,134433,"179,237",,,,"179,237",0,179237,CA0108928,Individual Permit,City of San Diego Metropolitan Wastewater Depart.,San Diego,Cottonwood-Tijuana,18070305,51st Congressional District,CA,9,MAP
Hale Avenue RRF,06009032001,"142,952",,,,"142,952",0,142952,"195,000",,,,"195,000",0,195000,CA0107981,Individual Permit,"ESCONDIDO, CITY OF",San Diego,San Luis Rey-Escondido,18070303,50th Congressional District,CA,9,MAP
Padre Dam WRF,06009036001,"70,800",,,,"70,800",70800,0,"42,800",,,,"42,800",42800,0,CA0107492,Individual Permit,Padre Dam Municipal Water District,San Diego,San Diego,18070304,50th Congressional District,CA,9,MAP
San Clemente WRP,06009038001,"48,000",,,,"48,000",0,48000,"56,640",,,,"56,640",0,56640,,,"SAN CLEMENTE, CITY OF",Orange,Aliso-San Onofre,18070301,49th Congressional District,CA,9,MAP
Lower Moosa Canyon WRF,06009039001,"2,100",,,,"2,100",0,2100,"3,400",,,,"3,400",0,3400,,,VALLEY CENTER MWD,San Diego,San Luis Rey-Escondido,18070303,50th Congressional District,CA,9,MAP
Meadowlark Water Reclam. Facility,06009040001,"25,000",,,,"25,000",25000,0,"26,000",,,,"26,000",26000,0,,,Vallecitos Water District,San Diego,San Luis Rey-Escondido,18070303,50th Congressional District,CA,9,MAP
